Area	EdgeDistance_Error	Density_In_Ellipse	Ramanujan	Red_MEAN
1875.381366	0.005182	0.980634	0.964822	36.428005
1155.370582	0.003166	0.995857	0.949175	32.661679
1928.913292	0.003759	0.993706	0.943525	28.986894
1142.90161	0.004311	0.991325	0.983972	29.697204
1057.285357	0.002072	0.996837	0.932904	39.192036
1990.748384	0.002954	0.996302	0.95438	27.877887
1323.698337	0.00206	0.990948	0.972219	18.729141
1448.748673	0.001356	0.998323	0.931184	31.295175
1299.320095	0.001287	0.998428	0.928835	27.33816
1253.563808	0.008775	0.991175	0.98515	15.566243
181.763269	0.003627	0.985715	0.991595	13.555502
674.282413	0.005893	0.992829	1.021926	14.429021
1167.488984	0.003402	0.997746	0.919568	29.265903
106.528936	0.013016	0.962523	0.979942	16.122694
1782.278332	0.002852	0.996238	0.923258	30.81296
1779.467587	0.00549	0.995514	0.914333	19.136908
853.254133	0.00574	0.994215	0.973802	17.942786
1559.747306	0.001857	0.997981	0.910994	19.719454
114.94909	0.028969	0.91784	1.00339	13.23131
1822.550927	0.004633	0.997753	0.944649	24.234112
805.042512	0.001241	0.996899	0.951765	27.858199
1571.808858	0.011447	0.978639	0.943627	32.887489
1916.636067	0.001385	0.993486	0.988689	36.514711
1277.224352	0.004276	0.994357	0.91519	35.324965
1158.793481	0.002998	0.997604	0.947892	27.153227
1133.826923	0.002277	0.997011	0.91746	31.92646
701.44117	0.001811	0.990854	0.964728	21.624227
1862.201355	0.001565	0.996565	0.997435	20.578856
1777.732659	0.002224	0.996443	0.973052	23.800182
1319.348402	0.002664	0.991902	0.980718	27.120293
1230.691914	0.003925	0.994834	0.90929	27.667466
2157.156122	0.009728	0.99711	0.949643	37.906356
2220.881849	0.001265	0.997966	0.949711	38.546235
897.29225	0.002088	0.993143	0.964901	30.50687
1477.774189	0.00109	0.996223	0.966415	37.785921
152.945318	0.010069	0.971113	0.916364	15.340941
1080.249585	0.001953	0.998145	0.94004	25.128683
1842.299691	0.00445	0.99449	0.970483	24.641798
1119.472409	0.001402	0.995907	0.949702	30.112108
1685.385981	0.001702	0.997811	0.965665	30.379035
2123.840889	0.002132	0.995102	0.981086	36.715174
1583.592887	0.000818	0.996297	0.940828	42.594605
886.410093	0.052717	0.872161	1.130508	43.408735
1106.182517	0.001788	0.995143	0.921495	31.76911
363.347647	0.002604	0.988934	0.912078	25.413136
2233.70108	0.004127	0.992713	0.94749	37.170395
1190.013123	0.004648	0.994396	0.946978	20.388897
1066.496902	0.001778	0.996464	0.928958	31.592553
1901.700544	0.009038	0.98597	0.957132	29.444041
1850.570717	0.001302	0.99639	0.941369	38.100238
732.30586	0.002824	0.989427	0.973795	31.215521
1380.528162	0.001108	0.997222	0.923703	37.874307
1128.808998	0.004677	0.997581	0.94013	37.739785
932.583088	0.002734	0.99617	0.946788	33.751477
1608.31754	0.002762	0.997326	0.945505	32.967585
1159.354588	0.004172	0.994171	0.912739	33.327389
1871.601269	0.005652	0.994029	0.955142	36.20386
2155.346027	0.001887	0.993136	0.94454	38.886378
504.397471	0.005051	0.975752	1.014474	27.945138
1447.225456	0.001848	0.996795	0.931046	37.352928
1613.795456	0.005146	0.986577	0.983224	37.747741
2120.054423	0.001901	0.994893	0.945634	37.778835
548.970923	0.002073	0.990812	0.958005	27.324889
1282.014301	0.0015	0.995779	0.957262	35.784159
1888.276086	0.002997	0.993187	0.967784	37.713864
1207.743988	0.003086	0.994904	0.952129	36.592085
544.69401	0.002943	0.989711	0.960294	38.387368
1795.907956	0.001172	0.997085	0.943021	38.014538
243.918166	0.018852	0.963722	0.956311	22.290899
940.755958	0.001307	0.994129	0.95321	32.536487
1697.520014	0.00464	0.992925	0.962735	34.961258
2172.224506	0.002215	0.993341	0.969652	32.032382
1412.241471	0.003744	0.995567	0.984624	33.255485
2027.635156	0.00239	0.992515	0.983321	36.798068
1746.908237	0.00893	0.996055	0.950473	36.95206
1015.749534	0.00335	0.995692	0.940649	37.966464
1646.320178	0.012536	0.995192	0.979797	27.637488
2408.008851	0.002914	0.98721	1.054989	30.299209
2059.132766	0.00731	0.98915	1.036648	30.073353
1814.052516	0.011313	0.954176	1.073546	32.511795
1064.775336	0.012319	0.956462	1.017596	24.126118
1714.906577	0.003809	0.997391	0.947918	31.149131
695.788173	0.004486	0.98334	1.016803	24.530271
1583.593318	0.002582	0.996161	0.980535	27.482622
1464.342655	0.005224	0.998089	0.948509	29.380603
1848.501535	0.006309	0.996834	0.974259	31.075898
2372.059221	0.004235	0.989761	1.010668	27.300118
1395.131645	0.003573	0.992403	1.055574	28.018388
894.193507	0.005767	0.976905	1.003857	27.243875
1942.219486	0.001845	0.995251	0.988386	32.169333
1550.251181	0.005944	0.988066	0.982814	27.980992
1270.091482	0.00097	0.997452	0.932183	27.324647
580.736886	0.007232	0.972848	1.038563	27.942525
1843.046599	0.007238	0.988026	1.050806	34.205321
2052.735998	0.002723	0.994616	0.947833	32.293126
1429.660118	0.001918	0.994518	0.980394	33.475155
520.845167	0.004683	0.981202	0.952305	23.402192
489.836974	0.010216	0.962352	0.984328	23.185534
1728.016616	0.004592	0.997007	0.962355	28.898235
1174.379044	0.001238	0.990635	0.974895	23.086168
1982.029995	0.00276	0.987135	0.986953	30.349668
1354.49927	0.003352	0.992557	0.990147	28.927826
1602.154195	0.008054	0.989586	1.034184	23.555699
2777.973644	0.001488	0.994822	0.997952	30.973931
1515.494204	0.001791	0.998526	0.924902	27.823205
1353.707268	0.001566	0.995089	0.969851	34.106824
1964.099766	0.006188	0.990416	0.989001	33.2879
1726.985051	0.004096	0.996463	0.968057	33.829711
1536.350352	0.002795	0.996195	0.951245	32.214918
862.142013	0.003109	0.988024	0.945134	25.581297
1509.550142	0.004878	0.998044	0.965718	34.182603
543.247079	0.002449	0.993621	0.91687	21.948396
1731.468198	0.006079	0.996278	0.939832	31.692313
1743.035634	0.003087	0.994141	0.933171	24.079754
883.222083	0.002785	0.990507	0.981293	24.952533
1291.499741	0.001289	0.993926	0.954273	18.20581
1598.620206	0.003573	0.997853	0.961407	35.771709
125.825317	0.057698	0.852358	0.971404	16.958333
1200.035978	0.002159	0.998342	0.940818	25.367022
916.153781	0.000859	0.995928	0.957979	26.246004
1815.40581	0.00341	0.995998	0.966869	27.44687
1092.938698	0.001106	0.997751	0.945012	22.624357
1446.599485	0.009736	0.998203	0.926337	27.213965
1702.333858	0.003823	0.996149	0.969972	34.890484
400.846485	0.001532	0.995022	0.955654	26.324185
564.037779	0.004426	0.99197	0.954166	20.625227
1554.798932	0.004294	0.998275	0.917267	33.529974
1138.547735	0.006871	0.965786	1.042109	22.572636
1063.018	0.00307	0.996982	0.945795	30.547561
1648.938742	0.001456	0.99728	0.935381	30.621597
983.535996	0.00137	0.996911	0.932775	30.867344
1789.060212	0.001919	0.995119	0.970076	34.238475
108.82691	0.050505	0.868371	1.002329	17.734584
1035.165737	0.00434	0.994399	0.956992	29.16144
1159.306602	0.004938	0.995218	0.952068	28.396813
1934.815878	0.002637	0.992828	0.962699	31.428857
82.060517	0.032273	0.983929	0.957964	16.336931
1510.170293	0.00668	0.991686	0.980408	35.693915
1769.297683	0.00309	0.992756	1.007287	36.51976
973.178496	0.0019	0.99362	0.954905	35.922022
1091.30244	0.002715	0.990797	1.010794	30.781777
2188.742895	0.001567	0.996948	0.943752	37.790159
1596.00266	0.004162	0.990479	0.945321	31.534936
659.986401	0.002952	0.996066	0.894774	25.605431
1618.943154	0.016834	0.970104	1.042524	36.031348
1883.860146	0.008247	0.96842	1.021401	38.516757
2023.632765	0.033911	0.910936	1.31941	39.742089
3172.545778	0.018476	0.980886	1.036272	33.835406
1460.174633	0.002534	0.994008	0.983889	34.053993
2134.881935	0.006906	0.963098	1.039987	34.504617
1729.923036	0.002433	0.997503	0.945591	41.716348
2373.766921	0.005369	0.99655	0.929236	29.067263
1264.471035	0.001566	0.994946	0.939918	30.259011
2320.149357	0.00156	0.995494	0.997409	29.636059
1272.073658	0.003067	0.993062	0.997957	28.730063
515.849101	0.009414	0.972098	0.989445	20.099075
2272.053824	0.002126	0.996392	0.966508	28.346038
1972.973918	0.004792	0.99104	0.981975	31.386067
2407.536855	0.00201	0.992404	0.990199	31.337999
